id,title,reason
75,Shark Point,NOT_RETURNED_BY_PADI_MAP_API
512,Lobos rock,NOT_RETURNED_BY_PADI_MAP_API
513,Swanne Rock,NOT_RETURNED_BY_PADI_MAP_API
514,Salvatierra Wreck,NOT_RETURNED_BY_PADI_MAP_API
515,Chinese Wreck,NOT_RETURNED_BY_PADI_MAP_API
516,Los Islotes,NOT_RETURNED_BY_PADI_MAP_API
517,Isla Bellena,NOT_RETURNED_BY_PADI_MAP_API
518,La Reina,NOT_RETURNED_BY_PADI_MAP_API
519,La Reinita,NOT_RETURNED_BY_PADI_MAP_API
520,Old Sea Lions,NOT_RETURNED_BY_PADI_MAP_API
524,Navy wreck C 59,NOT_RETURNED_BY_PADI_MAP_API
525,La Punta Norte,NOT_RETURNED_BY_PADI_MAP_API
586,Anemone Reef,NOT_RETURNED_BY_PADI_MAP_API
1071,"Kreidesee, Hemmoor, Germany",NOT_RETURNED_BY_PADI_MAP_API
1304,"Reef,Army Tank",NOT_RETURNED_BY_PADI_MAP_API
1306,Janet Tug Boat,NOT_RETURNED_BY_PADI_MAP_API
1310,Miss Louise,NOT_RETURNED_BY_PADI_MAP_API
1311,Phoenix Barge / Lost Barge,NOT_RETURNED_BY_PADI_MAP_API
1312,June Jones Reef,NOT_RETURNED_BY_PADI_MAP_API
1313,Eglin Air force Barge /Air force Barge,NOT_RETURNED_BY_PADI_MAP_API
1314,Bay Cones,NOT_RETURNED_BY_PADI_MAP_API
1338,Brown Barge,NOT_RETURNED_BY_PADI_MAP_API
1339,Butler Barge,NOT_RETURNED_BY_PADI_MAP_API
1340,Thomas Hayward Liberty Ship,NOT_RETURNED_BY_PADI_MAP_API
1341,Barrel Barge,NOT_RETURNED_BY_PADI_MAP_API
1342,Joseph E Brown,NOT_RETURNED_BY_PADI_MAP_API
2485,Neptune Memorial Reef,NOT_RETURNED_BY_PADI_MAP_API
2488,Emerald Reef,NOT_RETURNED_BY_PADI_MAP_API
2489,Belcher Barge Wreck Trek,NOT_RETURNED_BY_PADI_MAP_API
2860,Tiller Wreck,NOT_RETURNED_BY_PADI_MAP_API
2917,Baby Barge,NOT_RETURNED_BY_PADI_MAP_API
6277,The Caraquet,NOT_RETURNED_BY_PADI_MAP_API
6279,The Constellation,NOT_RETURNED_BY_PADI_MAP_API
6285,Cristobel Colon,NOT_RETURNED_BY_PADI_MAP_API
21303,middle stone,NOT_RETURNED_BY_PADI_MAP_API
21304,northern stones,NOT_RETURNED_BY_PADI_MAP_API
21305,Sebastian of Belarcazar ship,NOT_RETURNED_BY_PADI_MAP_API
23672,Wish Point (Dive Base Coiba),NOT_RETURNED_BY_PADI_MAP_API
23675,Danger Point (Dive Base Coiba),NOT_RETURNED_BY_PADI_MAP_API
